OTU_ID,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
MOTU1950,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1951,194286,Stichotrichia,subclass,0.995,,,Spirotrichea,,,,
MOTU1952,5988,Litostomatea,class,1,,,Litostomatea,,,,
MOTU1953,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1954,211030,Oligotrichia,subclass,1,,,Spirotrichea,,,,
MOTU1955,589344,Pyrenomonadaceae,family,0.9991,,,Cryptophyta,Pyrenomonadales,Pyrenomonadaceae,,
MOTU1956,154603,Dendrodoris,genus,1,Metazoa,Mollusca,Gastropoda,Nudibranchia,Dendrodorididae,Dendrodoris,
MOTU1957,38747,Coscinodiscaceae,family,1,,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,,
MOTU1958,5957,Heterotrichida,order,1,,,Heterotrichea,Heterotrichida,,,
MOTU1959,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1960,104737,Eunicidae,family,0.9791,Metazoa,Annelida,Polychaeta,Eunicida,Eunicidae,,
MOTU1961,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1962,2864,Dinophyceae,class,1,,,Dinophyceae,,,,
MOTU1963,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1964,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1965,1,root,no rank,1,,,,,,,
MOTU1966,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1967,2759,Eukaryota,superkingdom,0.9974,,,,,,,
MOTU1968,1779146,Heteroscleromorpha,subclass,1,Metazoa,Porifera,Demospongiae,,,,
MOTU1969,41873,Mamiellaceae,family,0.9998,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,,
MOTU1970,486728,Urostylida,order,1,,,Spirotrichea,Urostylida,,,
MOTU1971,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1972,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1973,500008,Leptothecata,order,0.9998,Metazoa,Cnidaria,Hydrozoa,Leptothecata,,,
MOTU1974,6833,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,
MOTU1975,2924,Alexandrium,genus,1,,,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,
MOTU1976,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1977,131567,cellular organisms,no rank,1,,,,,,,
MOTU1978,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1979,33213,Bilateria,no rank,0.9932,Metazoa,,,,,,
MOTU1980,1206794,Ecdysozoa,no rank,1,Metazoa,,,,,,
MOTU1981,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1982,6833,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,
MOTU1983,2830,Haptophyceae,no rank,1,,,,,,,
MOTU1984,1779146,Heteroscleromorpha,subclass,1,Metazoa,Porifera,Demospongiae,,,,
MOTU1985,131567,cellular organisms,no rank,1,,,,,,,
MOTU1986,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1987,6102,Hexacorallia,subclass,1,Metazoa,Cnidaria,Anthozoa,,,,
MOTU1988,194286,Stichotrichia,subclass,1,,,Spirotrichea,,,,
MOTU1989,33854,Fragilariophycidae,no rank,1,,Bacillariophyta,Fragilariophyceae,,,,
MOTU1990,5878,Ciliophora,no rank,1,,,,,,,
MOTU1991,5878,Ciliophora,no rank,1,,,,,,,
MOTU1992,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1993,2918,Heterocapsa,genus,1,,,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,
MOTU1994,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1995,7716,Phlebobranchia,suborder,1,Metazoa,Chordata,Ascidiacea,Enterogona,,,
MOTU1996,136419,Cercozoa,no rank,1,,,,,,,
MOTU1997,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU1998,38748,Naviculales,order,0.9697,,Bacillariophyta,Bacillariophyceae,Naviculales,,,
MOTU1999,33213,Bilateria,no rank,1,Metazoa,,,,,,
MOTU2000,6833,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,
MOTU2001,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2002,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2003,2759,Eukaryota,superkingdom,1,,,,,,,
