OTU_ID,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
MOTU6924,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6925,131567,cellular organisms,no rank,1,,,,,,,
MOTU6926,131567,cellular organisms,no rank,1,,,,,,,
MOTU6927,1206795,Lophotrochozoa,no rank,0.879,Metazoa,,,,,,
MOTU6928,2759,Eukaryota,superkingdom,0.9999,,,,,,,
MOTU6929,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6930,1,root,no rank,1,,,,,,,
MOTU6931,131567,cellular organisms,no rank,1,,,,,,,
MOTU6932,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6933,1,root,no rank,NA,,,,,,,
MOTU6934,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6935,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6936,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6937,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6938,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6939,33630,Alveolata,no rank,1,,,,,,,
MOTU6940,1,root,no rank,NA,,,,,,,
MOTU6941,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6942,33317,Protostomia,no rank,1,Metazoa,,,,,,
MOTU6943,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6944,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6945,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6946,131567,cellular organisms,no rank,1,,,,,,,
MOTU6947,131567,cellular organisms,no rank,1,,,,,,,
MOTU6948,1,root,no rank,1,,,,,,,
MOTU6949,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6950,2759,Eukaryota,superkingdom,0.9911,,,,,,,
MOTU6951,186625,Clupeocephala,no rank,0.9992,Metazoa,Chordata,Actinopteri,,,,
MOTU6952,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6953,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6954,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6955,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6956,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6957,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6958,1,root,no rank,1,,,,,,,
MOTU6959,1,root,no rank,1,,,,,,,
MOTU6960,2759,Eukaryota,superkingdom,0.9987,,,,,,,
MOTU6961,1,root,no rank,NA,,,,,,,
MOTU6962,1,root,no rank,1,,,,,,,
MOTU6963,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6964,1,root,no rank,1,,,,,,,
MOTU6965,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6966,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6967,2759,Eukaryota,superkingdom,0.9864,,,,,,,
MOTU6968,2759,Eukaryota,superkingdom,0.9999,,,,,,,
MOTU6969,131567,cellular organisms,no rank,1,,,,,,,
MOTU6970,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6971,2759,Eukaryota,superkingdom,0.9989,,,,,,,
MOTU6972,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6973,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6974,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6975,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6976,1,root,no rank,1,,,,,,,
MOTU6977,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6978,1365474,Stephanodiscaceae,family,1,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,,
MOTU6979,131567,cellular organisms,no rank,1,,,,,,,
MOTU6980,131567,cellular organisms,no rank,1,,,,,,,
MOTU6981,2870,Phaeophyceae,class,1,,,Phaeophyceae,,,,
MOTU6982,1,root,no rank,1,,,,,,,
MOTU6983,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6984,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6985,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6986,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6987,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6988,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6989,35164,Dasyaceae,family,1,,,Florideophyceae,Ceramiales,Dasyaceae,,
MOTU6990,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
MOTU6991,1,root,no rank,1,,,,,,,
MOTU6992,131567,cellular organisms,no rank,1,,,,,,,
MOTU6993,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6994,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
MOTU6995,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6996,131567,cellular organisms,no rank,1,,,,,,,
MOTU6997,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU6998,1,root,no rank,1,,,,,,,
MOTU6999,2759,Eukaryota,superkingdom,0.8639,,,,,,,
MOTU7000,1,root,no rank,1,,,,,,,
MOTU7001,1,root,no rank,1,,,,,,,
MOTU7002,131567,cellular organisms,no rank,1,,,,,,,
MOTU7003,2759,Eukaryota,superkingdom,0.9845,,,,,,,
MOTU7004,1,root,no rank,1,,,,,,,
MOTU7005,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7006,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7007,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7008,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7009,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7010,33208,Metazoa,kingdom,1,Metazoa,,,,,,
MOTU7011,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7012,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7013,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7014,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7015,33317,Protostomia,no rank,1,Metazoa,,,,,,
MOTU7016,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7017,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7018,2803,Rhodomelaceae,family,0.9121,,,Florideophyceae,Ceramiales,Rhodomelaceae,,
MOTU7019,6042,Demospongiae,class,1,Metazoa,Porifera,Demospongiae,,,,
MOTU7020,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7021,6074,Hydrozoa,class,0.9919,Metazoa,Cnidaria,Hydrozoa,,,,
MOTU7022,131567,cellular organisms,no rank,1,,,,,,,
MOTU7023,33634,Stramenopiles,no rank,1,,,,,,,
MOTU7024,1,root,no rank,1,,,,,,,
MOTU7025,1,root,no rank,NA,,,,,,,
MOTU7026,1,root,no rank,NA,,,,,,,
MOTU7027,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7028,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7029,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7030,1,root,no rank,1,,,,,,,
MOTU7031,131567,cellular organisms,no rank,1,,,,,,,
MOTU7032,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7033,1,root,no rank,NA,,,,,,,
MOTU7034,33213,Bilateria,no rank,1,Metazoa,,,,,,
MOTU7035,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7036,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7037,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7038,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7039,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7040,131567,cellular organisms,no rank,1,,,,,,,
MOTU7041,131567,cellular organisms,no rank,1,,,,,,,
MOTU7042,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7043,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7044,33208,Metazoa,kingdom,0.9628,Metazoa,,,,,,
MOTU7045,1,root,no rank,NA,,,,,,,
MOTU7046,33208,Metazoa,kingdom,0.9998,Metazoa,,,,,,
MOTU7047,1,root,no rank,NA,,,,,,,
MOTU7048,680346,Nudipleura,no rank,1,Metazoa,Mollusca,Gastropoda,,,,
MOTU7049,1,root,no rank,NA,,,,,,,
MOTU7050,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7051,1,root,no rank,NA,,,,,,,
MOTU7052,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7053,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7054,35131,Labyrinthulomycetes,class,1,,,Labyrinthulomycetes,,,,
MOTU7055,2759,Eukaryota,superkingdom,0.998,,,,,,,
MOTU7056,2806,Florideophyceae,class,0.9997,,,Florideophyceae,,,,
MOTU7057,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7058,1,root,no rank,NA,,,,,,,
MOTU7059,131567,cellular organisms,no rank,1,,,,,,,
MOTU7060,131567,cellular organisms,no rank,1,,,,,,,
MOTU7061,1,root,no rank,1,,,,,,,
MOTU7062,2806,Florideophyceae,class,0.9981,,,Florideophyceae,,,,
MOTU7063,1,root,no rank,NA,,,,,,,
MOTU7064,6042,Demospongiae,class,0.9999,Metazoa,Porifera,Demospongiae,,,,
MOTU7065,131567,cellular organisms,no rank,1,,,,,,,
MOTU7066,131567,cellular organisms,no rank,1,,,,,,,
MOTU7067,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7068,44578,Bdelloidea,class,0.9998,Metazoa,Rotifera,Bdelloidea,,,,
MOTU7069,33317,Protostomia,no rank,1,Metazoa,,,,,,
MOTU7070,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
MOTU7071,35164,Dasyaceae,family,1,,,Florideophyceae,Ceramiales,Dasyaceae,,
MOTU7072,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7073,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7074,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7075,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7076,1,root,no rank,1,,,,,,,
MOTU7077,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7078,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7079,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7080,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7081,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7082,131567,cellular organisms,no rank,1,,,,,,,
MOTU7083,1,root,no rank,NA,,,,,,,
MOTU7084,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7085,1,root,no rank,1,,,,,,,
MOTU7086,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7087,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7088,1,root,no rank,1,,,,,,,
MOTU7089,33154,Opisthokonta,no rank,1,,,,,,,
MOTU7090,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7091,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7092,131567,cellular organisms,no rank,1,,,,,,,
MOTU7093,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7094,1,root,no rank,1,,,,,,,
MOTU7095,131567,cellular organisms,no rank,1,,,,,,,
MOTU7096,1,root,no rank,NA,,,,,,,
MOTU7097,1,root,no rank,NA,,,,,,,
MOTU7098,1,root,no rank,1,,,,,,,
MOTU7099,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7100,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7101,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7102,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7103,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7104,131567,cellular organisms,no rank,1,,,,,,,
MOTU7105,116571,Podoplea,superorder,1,Metazoa,Arthropoda,Hexanauplia,,,,
